linie,richtung,kurs,seq_von,seq_nach,fahrweg_id,fw_no,fw_typ,fw_lang,halt_id_von,halt_id_nach
2,1,6,1,2,41253,15,2,DEP4 - KALK,2251,1906
2,1,3,1,2,42743,11,1,BEZI - BTIE für Ausfahrt,1306,1502
2,1,3,5,6,42743,11,1,BEZI - BTIE für Ausfahrt,2228,2590
2,1,3,4,5,42743,11,1,BEZI - BTIE für Ausfahrt,1528,2228
2,1,3,3,4,42743,11,1,BEZI - BTIE für Ausfahrt,2657,1528
2,1,3,2,3,42743,11,1,BEZI - BTIE für Ausfahrt,1502,2657
2,1,6,2,3,42738,1,1,FARB - BTIE,2818,2535
2,1,6,1,2,42738,1,1,FARB - BTIE,1310,2818
2,1,5,2,3,42743,11,1,BEZI - BTIE für Ausfahrt,1502,2657
2,1,5,1,2,42743,11,1,BEZI - BTIE für Ausfahrt,1306,1502
2,1,9,1,2,41253,15,2,DEP4 - KALK,2251,1906
2,1,3,8,9,42743,11,1,BEZI - BTIE für Ausfahrt,2104,2612
2,1,3,7,8,42743,11,1,BEZI - BTIE für Ausfahrt,1565,2104
2,1,3,6,7,42743,11,1,BEZI - BTIE für Ausfahrt,2590,1565
2,1,6,9,10,42738,1,1,FARB - BTIE,2250,2248
2,1,6,8,9,42738,1,1,FARB - BTIE,1535,2250
2,1,6,7,8,42738,1,1,FARB - BTIE,2245,1535
2,1,6,6,7,42738,1,1,FARB - BTIE,2253,2245
2,1,6,5,6,42738,1,1,FARB - BTIE,2244,2253
2,1,6,4,5,42738,1,1,FARB - BTIE,2770,2244
2,1,6,3,4,42738,1,1,FARB - BTIE,2535,2770
2,1,5,6,7,42743,11,1,BEZI - BTIE für Ausfahrt,2590,1565
2,1,5,5,6,42743,11,1,BEZI - BTIE für Ausfahrt,2228,2590
2,1,5,4,5,42743,11,1,BEZI - BTIE für Ausfahrt,1528,2228
2,1,5,3,4,42743,11,1,BEZI - BTIE für Ausfahrt,2657,1528
2,1,3,13,14,42743,11,1,BEZI - BTIE für Ausfahrt,2651,2788
2,1,3,12,13,42743,11,1,BEZI - BTIE für Ausfahrt,2680,2651
2,1,3,11,12,42743,11,1,BEZI - BTIE für Ausfahrt,2615,2680
2,1,3,10,11,42743,11,1,BEZI - BTIE für Ausfahrt,2689,2615
