id:ID,properties:JSON,:LABEL
1534,"{""halt_diva"": ""6238"", ""halt_kurz"": ""WERE"", ""halt_lang"": ""Zürich, Werd"", ""halt_ist_aktiv"": ""True""}",Stop
1535,"{""halt_diva"": ""48"", ""halt_kurz"": ""ALBP"", ""halt_lang"": ""Zürich, Albisriederplatz"", ""halt_ist_aktiv"": ""True""}",Stop
1537,"{""halt_diva"": ""2237"", ""halt_kurz"": ""SZEN"", ""halt_lang"": ""Schlieren, Zentrum"", ""halt_ist_aktiv"": ""True""}",Stop
1539,"{""halt_diva"": ""2158"", ""halt_kurz"": ""SPLA"", ""halt_lang"": ""Zürich, Schaffhauserplatz"", ""halt_ist_aktiv"": ""True""}",Stop
1541,"{""halt_diva"": ""412"", ""halt_kurz"": ""BPLA"", ""halt_lang"": ""Zürich, Bahnhofplatz/HB"", ""halt_ist_aktiv"": ""True""}",Stop
1542,"{""halt_diva"": ""413"", ""halt_kurz"": ""BQUA"", ""halt_lang"": ""Zürich, Bahnhofquai/HB"", ""halt_ist_aktiv"": ""True""}",Stop
1543,"{""halt_diva"": ""1334"", ""halt_kurz"": ""IRCH"", ""halt_lang"": ""Zürich, Universität Irchel"", ""halt_ist_aktiv"": ""True""}",Stop
1557,"{""halt_diva"": ""3042"", ""halt_kurz"": ""BWIE"", ""halt_lang"": ""Zürich, Bahnhof Wiedikon"", ""halt_ist_aktiv"": ""True""}",Stop
1565,"{""halt_diva"": ""440"", ""halt_kurz"": ""BELL"", ""halt_lang"": ""Zürich, Bellevue"", ""halt_ist_aktiv"": ""True""}",Stop
1571,"{""halt_diva"": ""872"", ""halt_kurz"": ""FRAN"", ""halt_lang"": ""Zürich, Frankental"", ""halt_ist_aktiv"": ""True""}",Stop
1574,"{""halt_diva"": ""799"", ""halt_kurz"": ""EWYS"", ""halt_lang"": ""Zürich, Escher-Wyss-Platz"", ""halt_ist_aktiv"": ""True""}",Stop
1580,"{""halt_diva"": ""88"", ""halt_kurz"": ""ALTR"", ""halt_lang"": ""Zürich, Altried"", ""halt_ist_aktiv"": ""True""}",Stop
1581,"{""halt_diva"": ""1176"", ""halt_kurz"": ""HRTI07"", ""halt_lang"": ""Wallisellen, Herti"", ""halt_ist_aktiv"": ""True""}",Stop
1596,"{""halt_diva"": ""2346"", ""halt_kurz"": ""SEEB"", ""halt_lang"": ""Zürich, Seebach"", ""halt_ist_aktiv"": ""True""}",Stop
1598,"{""halt_diva"": ""1259"", ""halt_kurz"": ""HUNG"", ""halt_lang"": ""Zürich, Hungerbergstrasse"", ""halt_ist_aktiv"": ""True""}",Stop
1687,"{""halt_diva"": ""2820"", ""halt_kurz"": ""BWAL07"", ""halt_lang"": ""Wallisellen, Bahnhof"", ""halt_ist_aktiv"": ""True""}",Stop
1741,"{""halt_diva"": ""1648"", ""halt_kurz"": ""MITL"", ""halt_lang"": ""Zürich, Mittelleimbach"", ""halt_ist_aktiv"": ""True""}",Stop
1816,"{""halt_diva"": ""972"", ""halt_kurz"": ""GESS"", ""halt_lang"": ""Zürich, Gessnerallee"", ""halt_ist_aktiv"": ""True""}",Stop
1829,"{""halt_diva"": ""3034"", ""halt_kurz"": ""BOER"", ""halt_lang"": ""Zürich, Bahnhof Oerlikon"", ""halt_ist_aktiv"": ""True""}",Stop
1845,"{""halt_diva"": ""2968"", ""halt_kurz"": ""ZEHN"", ""halt_lang"": ""Zürich, Zehntenhausplatz"", ""halt_ist_aktiv"": ""True""}",Stop
1846,"{""halt_diva"": ""114"", ""halt_kurz"": ""AUBR"", ""halt_lang"": ""Zürich, Aubrücke"", ""halt_ist_aktiv"": ""True""}",Stop
1852,"{""halt_diva"": ""199"", ""halt_kurz"": ""BEDE"", ""halt_lang"": ""Zürich, Bahnhof Enge/Bederstr."", ""halt_ist_aktiv"": ""True""}",Stop
1854,"{""halt_diva"": ""2550"", ""halt_kurz"": ""SAAL"", ""halt_lang"": ""Zürich, Saalsporthalle"", ""halt_ist_aktiv"": ""True""}",Stop
1873,"{""halt_diva"": ""845"", ""halt_kurz"": ""FELS"", ""halt_lang"": ""Zürich, Felsenrainstrasse"", ""halt_ist_aktiv"": ""True""}",Stop
1874,"{""halt_diva"": ""3021"", ""halt_kurz"": ""BAFF"", ""halt_lang"": ""Zürich, Bahnhof Affoltern"", ""halt_ist_aktiv"": ""True""}",Stop
1884,"{""halt_diva"": ""3154"", ""halt_kurz"": ""MEHA"", ""halt_lang"": ""Zürich, Messe/Hallenstadion"", ""halt_ist_aktiv"": ""True""}",Stop
