:START_ID,:END_ID,:TYPE,properties:JSON
2680,2651,CONNECTED_BY,"{""linie"": ""2"", ""richtung"": ""1"", ""kurs"": ""3"", ""seq_von"": ""12"", ""seq_nach"": ""13"", ""fahrweg_id"": ""29829"", ""fw_no"": ""11"", ""fw_typ"": ""1"", ""fw_lang"": ""BEZI - BTIE für Ausfahrt""}"
2615,2680,CONNECTED_BY,"{""linie"": ""2"", ""richtung"": ""1"", ""kurs"": ""3"", ""seq_von"": ""11"", ""seq_nach"": ""12"", ""fahrweg_id"": ""29829"", ""fw_no"": ""11"", ""fw_typ"": ""1"", ""fw_lang"": ""BEZI - BTIE für Ausfahrt""}"
2689,2615,CONNECTED_BY,"{""linie"": ""2"", ""richtung"": ""1"", ""kurs"": ""3"", ""seq_von"": ""10"", ""seq_nach"": ""11"", ""fahrweg_id"": ""29829"", ""fw_no"": ""11"", ""fw_typ"": ""1"", ""fw_lang"": ""BEZI - BTIE für Ausfahrt""}"
2612,2689,CONNECTED_BY,"{""linie"": ""2"", ""richtung"": ""1"", ""kurs"": ""3"", ""seq_von"": ""9"", ""seq_nach"": ""10"", ""fahrweg_id"": ""29829"", ""fw_no"": ""11"", ""fw_typ"": ""1"", ""fw_lang"": ""BEZI - BTIE für Ausfahrt""}"
1565,2104,CONNECTED_BY,"{""linie"": ""2"", ""richtung"": ""1"", ""kurs"": ""5"", ""seq_von"": ""7"", ""seq_nach"": ""8"", ""fahrweg_id"": ""29829"", ""fw_no"": ""11"", ""fw_typ"": ""1"", ""fw_lang"": ""BEZI - BTIE für Ausfahrt""}"
2590,1565,CONNECTED_BY,"{""linie"": ""2"", ""richtung"": ""1"", ""kurs"": ""5"", ""seq_von"": ""6"", ""seq_nach"": ""7"", ""fahrweg_id"": ""29829"", ""fw_no"": ""11"", ""fw_typ"": ""1"", ""fw_lang"": ""BEZI - BTIE für Ausfahrt""}"
2228,2590,CONNECTED_BY,"{""linie"": ""2"", ""richtung"": ""1"", ""kurs"": ""5"", ""seq_von"": ""5"", ""seq_nach"": ""6"", ""fahrweg_id"": ""29829"", ""fw_no"": ""11"", ""fw_typ"": ""1"", ""fw_lang"": ""BEZI - BTIE für Ausfahrt""}"
1528,2228,CONNECTED_BY,"{""linie"": ""2"", ""richtung"": ""1"", ""kurs"": ""5"", ""seq_von"": ""4"", ""seq_nach"": ""5"", ""fahrweg_id"": ""29829"", ""fw_no"": ""11"", ""fw_typ"": ""1"", ""fw_lang"": ""BEZI - BTIE für Ausfahrt""}"
2657,1528,CONNECTED_BY,"{""linie"": ""2"", ""richtung"": ""1"", ""kurs"": ""5"", ""seq_von"": ""3"", ""seq_nach"": ""4"", ""fahrweg_id"": ""29829"", ""fw_no"": ""11"", ""fw_typ"": ""1"", ""fw_lang"": ""BEZI - BTIE für Ausfahrt""}"
2251,1906,CONNECTED_BY,"{""linie"": ""2"", ""richtung"": ""1"", ""kurs"": ""2"", ""seq_von"": ""1"", ""seq_nach"": ""2"", ""fahrweg_id"": ""28607"", ""fw_no"": ""15"", ""fw_typ"": ""2"", ""fw_lang"": ""DEP4 - KALK""}"
